usr_id,oprcod,wh_id
GAGANA,PALTPF,SGDC
GAYATHRIL,PALTPF,SGDC
GC145048,PALTPF,SGDC
GEORGE,PALTPF,SGDC
GHAYATHRI,PALTPF,SGDC
GOWRI,PALTPF,SGDC
GPAVITHRA,PALTPF,SGDC
GUION,PALTPF,SGDC
HALILB,PALTPF,SGDC
HAMRAN,PALTPF,SGDC
HAOLONG,PALTPF,SGDC
HARONB,PALTPF,SGDC
HASBI,PALTPF,SGDC
HS0133003,PALTPF,SGDC
HUDSON,PALTPF,SGDC
IAHMAD,PALTPF,SGDC
IMRANA,PALTPF,SGDC
ISWARAN,PALTPF,SGDC
JALILBINS,PALTPF,SGDC
JARAJ,PALTPF,SGDC
JASMINE,PALTPF,SGDC
JAYAKUMAR,PALTPF,SGDC
JEFFCHONGYI,PALTPF,SGDC
JEFFZM,PALTPF,SGDC
JENNIFER,PALTPF,SGDC
JOHNSINGAM,PALTPF,SGDC
JORDANT,PALTPF,SGDC
JORDON,PALTPF,SGDC
JPRASANTH,PALTPF,SGDC
JS0132564,PALTPF,SGDC
JTEPLIN,PALTPF,SGDC
JTEPLIN2,PALTPF,SGDC
JUNFANC,PALTPF,SGDC
KELVIN LIM,PALTPF,SGDC
KHOOKAH,PALTPF,SGDC
KHUSNI,PALTPF,SGDC
LAM,PALTPF,SGDC
LEONGYM,PALTPF,SGDC
LIMYUANMEE,PALTPF,SGDC
LM0132337,PALTPF,SGDC
LT0132440,PALTPF,SGDC
MAHADI,PALTPF,SGDC
MAYWONG,PALTPF,SGDC
MAZLAN,PALTPF,SGDC
MB0131670,PALTPF,SGDC
MCHANDANA,PALTPF,SGDC
MENDOZA,PALTPF,SGDC
MITHILESH,PALTPF,SGDC
MOHD RAHMAN,PALTPF,SGDC
MS0145024,PALTPF,SGDC
MS145042,PALTPF,SGDC
MULHENDRIB,PALTPF,SGDC
MUSHINTEO,PALTPF,SGDC
NABILSHAH,PALTPF,SGDC
NGJING,PALTPF,SGDC
NK,PALTPF,SGDC
PARTHIBANS,PALTPF,SGDC
PAUL,PALTPF,SGDC
PETERFUNG,PALTPF,SGDC
PETERMATISI,PALTPF,SGDC
PRINT PACKLIST,PALTPF,SGDC
PTHEVINDRAN,PALTPF,SGDC
PTRIVEDI,PALTPF,SGDC
QAJAYA,PALTPF,SGDC
QAPREETHI,PALTPF,SGDC
QARUBAN,PALTPF,SGDC
QASWARNA,PALTPF,SGDC
QAVIDYA,PALTPF,SGDC
QAVINOD,PALTPF,SGDC
RAFEN,PALTPF,SGDC
RAGHAV,PALTPF,SGDC
RAHMAT,PALTPF,SGDC
RAM,PALTPF,SGDC
RAYCROSSWELL,PALTPF,SGDC
RAYMONDTAN,PALTPF,SGDC
RENQIANG,PALTPF,SGDC
REUELD,PALTPF,SGDC
RH145118,PALTPF,SGDC
RIZAL,PALTPF,SGDC
ROHIT,PALTPF,SGDC
ROSLI,PALTPF,SGDC
RPRABHU,PALTPF,SGDC
RPSUPPORT,PALTPF,SGDC
RSRINIVASAN,PALTPF,SGDC
SAHRI,PALTPF,SGDC
