prtnum,stoloc,ship_to_loc,maxunt,minunt,invsts,mod_usr_id
34171801,A01009,1396,100,10,AFS,SAMNI
34203042,M01094,,100,10,AFS,SAMNI
34209510,M02044,1396,100,10,AFS,SAMNI
34270520,O01024,1396,100,10,AFS,SAMNI
34293886,G01049,,100,10,AFS,SAMNI
34316232,K01024,1396,100,10,AFS,SAMNI
34316786,M01019,1396,100,10,AFS,SAMNI
34316786,O02107,1506,100,10,AFS,SAMNI
34320960,M01099,,100,10,AFS,SAMNI
34321026,M01072,,100,10,AFS,SAMNI
34323709,K01004,1396,100,10,AFS,SAMNI
34371708,H01043,,100,10,AFS,SAMNI
34392597,O03105,1506,100,10,AFS,SAMNI
34392779,O01114,1506,100,10,AFS,SAMNI
34462911,M01060,,100,10,AFS,SAMNI
34471912,I01055,,100,10,AFS,SAMNI
34472894,J01015,1396,100,10,AFS,SAMNI
34497594,N01095,,100,10,AFS,SAMNI
34512939,I01037,,100,10,AFS,SAMNI
34512939,G01029,1506,100,10,AFS,SAMNI
34556381,H01009,1396,100,10,AFS,SAMNI
34556381,E01038,1506,100,10,AFS,SAMNI
34558817,A01017,1506,100,10,AFS,SAMNI
34558817,F01014,1396,100,10,AFS,SAMNI
34571109,A01010,1396,100,10,AFS,SAMNI
34595934,O01035,1396,100,10,AFS,SAMNI
34613638,M02088,,100,10,AFS,SAMNI
34613885,M01081,,100,10,AFS,SAMNI
